fullName,city,state,location,lon,lat,type,loctype,address,north,south,east,west
Swisher Gymnasium,Jacksonville,FL,"Swisher Gymnasium, Jacksonville, FL",-81.6049621,30.3502343,premise,rooftop,"swisher gymnasium, jacksonville, fl 32211, usa",30.3517173302915,30.3490193697085,-81.60372981970849,-81.6064277802915
Wells Fargo Arena (IA),Des Moines,IA,"Wells Fargo Arena (IA), Des Moines, IA",-93.6210651,41.5926623,establishment,rooftop,"233 center st, des moines, ia 50309, usa",41.5938887802915,41.5911908197085,-93.6196983697085,-93.62239633029151
Bridgestone Arena,Nashville,TN,"Bridgestone Arena, Nashville, TN",-86.7784959,36.1591736,establishment,rooftop,"501 broadway, nashville, tn 37203, usa",36.16089763029149,36.15819966970849,-86.77691351970849,-86.7796114802915
Truist Arena,Highland Heights,KY,"Truist Arena, Highland Heights, KY",-84.45910049999999,39.0319947,establishment,rooftop,"500 louie b nunn dr, highland heights, ky 41099, usa",39.03310263029149,39.0304046697085,-84.4580337197085,-84.4607316802915
George Bisacca Court at Alumni Hall,Fairfield,CT,"George Bisacca Court at Alumni Hall, Fairfield, CT",-73.2566191,41.159837,establishment,rooftop,"loyola drive, fairfield, ct 06824, usa",41.16120168029149,41.1585037197085,-73.2552655697085,-73.25796353029152
Agganis Arena,Boston,MA,"Agganis Arena, Boston, MA",-71.1176966,42.3521945,premise,rooftop,"agganis arena, 925 commonwealth ave, boston, ma 02215, usa",42.3534898802915,42.3507919197085,-71.1163819197085,-71.11907988029151
Norfolk Scope Arena,Norfolk,VA,"Norfolk Scope Arena, Norfolk, VA",-76.28687800000002,36.8532544,establishment,rooftop,"201 e brambleton ave, norfolk, va 23510, usa",36.8542940302915,36.8515960697085,-76.2852404197085,-76.28793838029151
BOK Center,Tulsa,OK,"BOK Center, Tulsa, OK",-95.9963597,36.1527447,establishment,rooftop,"200 s denver ave., tulsa, ok 74103, usa",36.1542663802915,36.1515684197085,-95.9946405,-95.9975147
Barclays Center,Brooklyn,NY,"Barclays Center, Brooklyn, NY",-73.97541559999999,40.6826465,establishment,rooftop,"620 atlantic ave, brooklyn, ny 11217, usa",40.6839471802915,40.6812492197085,-73.97444551970848,-73.9771434802915
Addition Financial Arena,Orlando,FL,"Addition Financial Arena, Orlando, FL",-81.1973124,28.607438,establishment,rooftop,"12777 gemini blvd n, orlando, fl 32816, usa",28.6082353302915,28.60553736970849,-81.1961729697085,-81.1988709302915
Curtis Culwell Center,Garland,TX,"Curtis Culwell Center, Garland, TX",-96.6420804,32.9592783,establishment,rooftop,"4999 naaman forest blvd, garland, tx 75040, usa",32.9608582802915,32.9581603197085,-96.64045896970849,-96.6431569302915
TD Arena,Charleston,SC,"TD Arena, Charleston, SC",-79.9342231,32.7850484,establishment,rooftop,"301 meeting st, charleston, sc 29401, usa",32.7867644802915,32.7840665197085,-79.9325943197085,-79.9352922802915
US Bank Arena,Cincinnati,OH,"US Bank Arena, Cincinnati, OH",-84.50447869999999,39.0979906,establishment,rooftop,"100 broadway, cincinnati, oh 45202, usa",39.0992607802915,39.0965628197085,-84.50334266970849,-84.50604063029151
Toyota Center (Houston),Houston,TX,"Toyota Center (Houston), Houston, TX",-95.3621005,29.75076039999999,establishment,rooftop,"1510 polk st, houston, tx 77002, usa",29.75236538029149,29.7496674197085,-95.36094361970848,-95.3636415802915
The Nest,Sacramento,CA,"The Nest, Sacramento, CA",-121.4266147,38.56196389999999,establishment,geometric_center,"moraga way, sacramento, ca 95826, usa",38.56340143029149,38.56070346970849,-121.4250911697085,-121.4277891302915
Worthington Arena,Bozeman,MT,"Worthington Arena, Bozeman, MT",-111.0506118,45.6633982,establishment,rooftop,"1 bobcat cir, bozeman, mt 59717, usa",45.6643539802915,45.6616560197085,-111.0492643197085,-111.0519622802915
Betty Engelstad Sioux Center,Grand Forks,ND,"Betty Engelstad Sioux Center, Grand Forks, ND",-97.0714417,47.9275954,premise,rooftop,"englestad (betty) sioux center, grand forks, nd 58203, usa",47.92894433029149,47.92624636970849,-97.07008309999999,-97.07367099999999
J. Lawrence Walkup Skydome,Flagstaff,AZ,"J. Lawrence Walkup Skydome, Flagstaff, AZ",-111.6528193,35.1805057,establishment,rooftop,"1705 s san francisco st, flagstaff, az 86001, usa",35.1817239302915,35.1790259697085,-111.6508403697085,-111.6535383302915
Hard Rock Hotel Riviera Maya,Cancun,Mexico,"Hard Rock Hotel Riviera Maya, Cancun, Mexico",-86.8515279,21.161908,locality,approximate,"cancún, quintana roo, mexico",21.2129226,21.0297632,-86.74054009999999,-86.9579266
Imperial Arena,Nassau,Bahamas,"Imperial Arena, Nassau, Bahamas",-77.3503609,25.0443312,locality,approximate,"nassau, the bahamas",25.0862208,24.9789003,-77.2582627,-77.5559234
MGM Grand,Las Vegas,NV,"MGM Grand, Las Vegas, NV",-115.1391009,36.171563,locality,approximate,"las vegas, nv, usa",36.3,35.95,-114.95,-115.4
McCamish Pavilion,Atlanta,GA,"McCamish Pavilion, Atlanta, GA",-84.39277659999999,33.7808132,establishment,rooftop,"965 fowler st nw, atlanta, ga 30318, usa",33.7823463302915,33.7796483697085,-84.3913214697085,-84.39401943029151
The HTC Center,Conway,SC,"The HTC Center, Conway, SC",-79.01555739999999,33.7991445,establishment,rooftop,"104 founders dr, conway, sc 29526, usa",33.8007860302915,33.7980880697085,-79.01411161970849,-79.01680958029151
McBrayer Arena,Richmond,KY,"McBrayer Arena, Richmond, KY",-84.3012445,37.7373749,premise,rooftop,"alumni coliseum, 641 eastern bypass, richmond, ky 40475, usa",37.7387047302915,37.7360067697085,-84.2999341697085,-84.30263213029151
