school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,year,20
Virginia,ACC,24,25,,,,,,,,,,,,20,17,14,12,5,6,2014,3
Wichita State,MVC,16,16,14,12,11,12,11,10,8,6,5,5,4,4,4,3,2,2,2,2014,2
Wisconsin,Big Ten,20,20,12,10,8,4,4,4,4,4,3,9,14,,21,16,14,9,12,2014,12
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2015,NA
School,Conf,Pre,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/2,3/9,Final,2015,NA
Arizona,Pac-12,2,2,3,3,3,3,3,8,7,10,7,6,6,7,7,7,5,5,5,2015,NA
Arkansas,SEC,,,25,18,,,,,23,19,,,,24,18,18,18,21,21,2015,NA
Baylor,Big 12,,,,,,,22,22,21,22,21,20,19,16,20,19,14,16,16,2015,NA
Boise State,MWC,,,,,,,,,,,,,,,,,,25,,2015,NA
Butler,Big East,,,,23,15,23,,,,,,25,22,18,19,23,21,22,24,2015,NA
Colorado State,MWC,,,,,,,24,24,,,,,,,,,,,,2015,NA
Creighton,Big East,,,23,,,,,,,,,,,,,,,,,2015,NA
Davidson,A-10,,,,,,,,,,,,,,,,,,24,,2015,NA
Dayton,A-10,,,,,,,,,,,22,,,,,,,,,2015,NA
Duke,ACC,4,4,4,4,2,2,2,2,2,4,5,4,4,4,4,4,3,2,4,2015,NA
Florida,SEC,7,8,18,,,,,,,,,,,,,,,,,2015,NA
Georgetown,Big East,,,,,,,,25,,,,21,24,,,,,23,22,2015,NA
Gonzaga,WCC,13,13,10,9,9,8,8,7,6,3,3,3,2,3,3,3,7,7,7,2015,NA
Harvard,Ivy,25,,,,,,,,,,,,,,,,,,,2015,NA
Illinois,Big Ten,,,,24,,,,,,,,,,,,,,,,2015,NA
Indiana,Big Ten,,,,,,,,,,,23,22,,,,,,,,2015,NA
Iowa,Big Ten,,,,,,,,,,,25,,,,,,,,,2015,NA
Iowa State,Big 12,14,14,13,20,14,13,12,9,17,11,9,15,11,14,14,12,17,13,9,2015,NA
Kansas,Big 12,5,5,11,11,10,10,10,13,12,9,11,9,8,8,8,8,9,9,10,2015,NA
Kentucky,SEC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2015,NA
School,Conf,Pre,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/2,3/9,Final,2015,NA
Louisville,ACC,8,7,6,5,4,4,4,5,5,6,10,10,9,9,12,17,16,14,17,2015,NA
Maryland,Big Ten,,,,21,19,17,15,12,11,14,13,16,17,19,16,14,10,8,12,2015,NA
Miami (FL),ACC,,,17,15,20,18,,,,,,23,,,,,,,,2015,NA
Michigan,Big Ten,24,24,19,17,,,,,,,,,,,,,,,,2015,NA
Michigan State,Big Ten,18,19,20,19,,25,,,,,,,,,,,,,23,2015,NA
Murray State,OVC,,,,,,,,,,,,,,,,,25,,,2015,NA
Nebraska,Big Ten,21,21,,,,,,,,,,,,,,,,,,2015,NA
Northern Iowa,MVC,,,,,23,,23,23,,23,20,18,14,13,11,10,11,10,11,2015,NA
Notre Dame,ACC,,,,,25,21,16,14,13,12,8,8,10,10,10,9,12,11,8,2015,NA
Ohio State,Big Ten,20,20,16,14,12,12,21,20,22,,,,20,23,24,,23,,,2015,NA
Oklahoma,Big 12,19,18,,22,16,15,19,18,16,18,19,24,21,17,17,16,15,15,13,2015,NA
Oklahoma State,Big 12,,,,,,,,,,24,,,,22,22,,,,,2015,NA
Old Dominion,CUSA,,,,,,,,,25,,,,,,,,,,,2015,NA
Providence,Big East,,,,,,,,,,,,,,,,25,24,,,2015,NA
SMU,AAC,22,22,,,,,,,,,,,23,25,21,21,22,20,18,2015,NA
San Diego State,MWC,16,16,15,13,18,19,,,,,,,,,,24,,,,2015,NA
Seton Hall,Big East,,,,,,,,,19,21,24,,,,,,,,,2015,NA
St. John's (NY),Big East,,,,,24,20,17,15,24,,,,,,,,,,,2015,NA
Syracuse,ACC,23,23,,,,,,,,,,,,,,,,,,2015,NA
TCU,Big 12,,,,,,,25,,,,,,,,,,,,,2015,NA
Texas,Big 12,10,10,7,6,8,9,9,11,10,20,17,19,25,,,,,,,2015,NA
UCLA,Pac-12,,,22,,,,,,,,,,,,,,,,,2015,NA
UConn,AAC,17,17,24,,,,,,,,,,,,,,,,,2015,NA
UNC,ACC,6,6,5,12,21,24,20,19,18,15,15,13,12,12,15,15,19,19,15,2015,NA
Utah,Pac-12,25,25,,25,13,14,14,10,9,8,12,11,13,11,9,13,13,17,19,2015,NA
VCU,A-10,15,15,14,,,,,,20,17,16,14,18,20,25,22,,,25,2015,NA
Villanova,Big East,12,12,12,10,7,7,7,6,8,5,4,7,7,6,6,6,4,4,2,2015,NA
Virginia,ACC,9,9,8,7,6,6,5,3,3,2,2,2,3,2,2,2,2,3,6,2015,NA
Washington,Pac-12,,,,,17,16,13,21,,,,,,,,,,,,2015,NA
West Virginia,Big 12,,,21,16,22,22,18,17,14,16,18,17,15,21,23,20,20,18,20,2015,NA
Wichita State,MVC,11,11,9,8,11,11,11,16,15,13,14,12,16,15,13,11,8,12,14,2015,NA
Wisconsin,Big Ten,3,3,2,2,5,5,6,4,4,7,6,5,5,5,5,5,6,6,3,2015,NA
Wyoming,MWC,,,,,,,,,,25,,,,,,,,,,2015,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2016,NA
School,Conf,Pre,11/16,11/23,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,2/29,3/7,Final,2016,NA
Arizona,Pac-12,12,12,11,19,13,13,8,8,7,18,12,18,23,17,12,8,18,15,17,2016,NA
Baylor,Big 12,22,20,,25,16,16,23,23,,22,14,17,15,21,25,19,19,22,21,2016,NA
Butler,Big East,24,22,,,18,17,9,9,18,23,18,,,,,,,,,2016,NA
California,Pac-12,14,15,14,,,,,,,,,,,,,,25,24,23,2016,NA
Cincinnati,AAC,,,24,17,23,23,22,22,,,,,,,,,,,,2016,NA
Dayton,A-10,,,,,,,,,25,,,,24,19,15,,,,,2016,NA
Duke,ACC,5,5,6,7,8,7,15,15,14,9,20,24,,,20,15,17,19,19,2016,NA
George Washington,A-10,,,,,,21,20,,,,,,,,,,,,,2016,NA
Gonzaga,WCC,9,10,10,13,20,,,,,25,,,,,,,,,,2016,NA
Indiana,Big Ten,15,14,13,,,,,,,,25,19,22,,22,18,12,10,14,2016,NA
Iowa,Big Ten,,,,,,,,,19,16,9,3,5,4,4,8,16,20,25,2016,NA
Iowa State,Big 12,7,7,4,5,4,5,11,11,13,17,19,14,13,14,13,17,21,21,22,2016,NA
Kansas,Big 12,4,4,5,4,2,2,2,2,1,1,3,4,7,6,2,2,1,1,1,2016,NA
Kentucky,SEC,2,2,1,1,5,4,12,10,9,14,23,20,20,22,14,16,22,16,10,2016,NA
LSU,SEC,21,23,22,,,,,,,,,,,,,,,,,2016,NA
Louisville,ACC,,,,24,22,19,16,18,16,21,17,16,19,13,18,11,11,14,16,2016,NA
Maryland,Big Ten,3,3,2,2,6,6,4,4,3,3,7,8,4,2,6,10,14,18,18,2016,NA
Miami (FL),ACC,,,15,21,17,15,13,13,12,8,15,15,17,12,11,12,7,11,10,2016,NA
Michigan,Big Ten,25,24,,,,,,,,,,,,,,,,,,2016,NA
Michigan State,Big Ten,13,13,3,3,1,1,1,1,5,4,11,12,10,8,8,6,2,2,2,2016,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2016,NA
School,Conf,Pre,11/16,11/23,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,2/29,3/7,Final,2016,NA
Notre Dame,ACC,19,18,17,,,,,,,,,25,,,19,23,,,,2016,NA
Oklahoma,Big 12,8,8,7,6,7,3,3,3,2,2,1,1,1,3,3,3,6,6,7,2016,NA
Oregon,Pac-12,,25,21,15,24,,,,,,,23,16,11,16,13,9,8,5,2016,NA
Pitt,ACC,,,,,,,,,24,20,,,,,,,,,,2016,NA
Providence,Big East,,,,23,15,14,10,12,8,12,16,10,11,20,23,,,,,2016,NA
Purdue,Big Ten,23,21,16,11,11,9,14,14,20,24,22,21,18,18,17,20,15,13,12,2016,NA
SMU,AAC,,,25,22,19,18,18,17,15,10,8,13,12,16,21,24,24,25,24,2016,NA
Seton Hall,Big East,,,,,,,,,,,,,,,,,,,20,2016,NA
South Carolina,SEC,,,,,,,25,24,22,19,24,,25,,,,,,,2016,NA
Syracuse,ACC,,,,14,,,,,,,,,,,,,,,,2016,NA
Texas,Big 12,,,,,,,,,,,,,,24,24,25,23,23,,2016,NA
Texas A&M,SEC,,,25,18,,24,21,20,21,15,10,5,8,15,,21,20,17,15,2016,NA
UCLA,Pac-12,,,,,,22,,25,,,,,,,,,,,,2016,NA
UConn,AAC,20,19,18,,,25,,,23,,,,,,,,,,,2016,NA
UNC,ACC,1,1,9,9,3,11,7,7,6,5,2,2,2,9,5,7,8,7,3,2016,NA
USC,Pac-12,,,,,,,,,,,21,,,23,,,,,,2016,NA
Utah,Pac-12,16,16,,,25,,24,21,,,,,,,,22,13,12,13,2016,NA
Vanderbilt,SEC,18,17,19,16,21,,,,,,,,,,,,,,,2016,NA
Villanova,Big East,11,11,8,8,9,12,17,16,11,6,4,6,3,1,1,1,3,3,6,2016,NA
Virginia,ACC,6,6,12,10,10,8,5,5,4,13,13,11,9,7,7,3,4,4,4,2016,NA
West Virginia,Big 12,,,,20,14,20,19,19,17,11,6,9,14,10,10,14,10,9,8,2016,NA
Wichita State,MVC,10,9,20,,,,,,,,,22,21,25,,,,,,2016,NA
Wisconsin,Big Ten,17,,,,,,,,,,,,,,,,,,,2016,NA
Xavier,Big East,,,23,12,12,10,6,6,10,7,5,7,6,5,8,5,5,5,9,2016,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2017,NA
School,Conf,Pre,11/14,11/21,11/28,12/5,12/12,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/6,Final,2017,NA
Arizona,Pac-12,10,10,8,16,20,19,18,18,17,16,14,7,5,9,5,4,7,7,4,2017,NA
Baylor,Big 12,,,20,9,4,4,4,4,2,1,6,5,2,6,4,9,11,9,12,2017,NA
Butler,Big East,,,,18,16,18,13,13,18,12,13,11,16,22,24,22,13,18,21,2017,NA
California,Pac-12,,25,,,,,,,,,,,,,,,,,,2017,NA
Cincinnati,AAC,,24,,,22,25,24,23,22,22,20,19,14,11,18,15,18,15,18,2017,NA
Creighton,Big East,22,22,12,10,10,10,9,10,10,8,7,16,22,23,20,23,,,,2017,NA
Duke,ACC,1,1,6,5,5,5,5,5,8,7,18,17,21,18,12,10,17,14,7,2017,NA
Florida,SEC,,,,24,21,,,25,24,23,19,25,24,17,15,13,12,17,20,2017,NA
Florida State,ACC,,,25,,,23,21,20,12,9,10,6,15,14,17,19,15,16,16,2017,NA
Gonzaga,WCC,14,14,11,8,8,8,7,7,5,5,4,3,1,1,1,1,4,4,2,2017,NA
Indiana,Big Ten,11,6,3,13,9,9,16,16,25,,,,,,,,,,,2017,NA
Iowa State,Big 12,24,20,21,19,25,,,,,,,,,,,,24,23,16,2017,NA
Kansas,Big 12,3,7,5,4,3,3,3,3,3,2,2,2,3,3,3,3,1,1,3,2017,NA
Kansas State,Big 12,,,,,,,,,,25,,,,,,,,,,2017,NA
Kentucky,SEC,2,2,1,1,6,6,6,8,6,6,5,4,8,15,13,11,9,8,5,2017,NA
Louisville,ACC,13,12,10,14,11,11,10,6,9,14,12,13,6,4,8,7,8,10,10,2017,NA
Maryland,Big Ten,25,,,,,,,,,,25,22,17,21,23,24,,25,,2017,NA
Miami (FL),ACC,,,,,,,,,,,,,,,,,25,,,2017,NA
Michigan,Big Ten,,,25,,,,,,,,,,,,,,,,23,2017,NA
Michigan State,Big Ten,12,13,24,,,,,,,,,,,,,,,,,2017,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2017,NA
School,Conf,Pre,11/14,11/21,11/28,12/5,12/12,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/6,Final,2017,NA
Minnesota,Big Ten,,,,,,,,,,24,,,,,,,,,,2017,NA
Northwestern,Big Ten,,,,,,,,,,,,,25,,,,,,,2017,NA
Notre Dame,ACC,,,,,23,21,25,24,23,20,15,14,20,,25,21,19,22,14,2017,NA
Oregon,Pac-12,5,4,13,23,24,22,20,21,15,13,11,10,13,5,7,6,6,5,9,2017,NA
Purdue,Big Ten,15,15,17,15,18,15,15,15,20,17,21,20,23,16,16,14,16,13,15,2017,NA
Rhode Island,A-10,23,21,23,21,,,,,,,,,,,,,,,,2017,NA
SMU,AAC,,,,,,,,,,,,,,25,19,17,14,12,11,2017,NA
Saint Mary's,WCC,17,17,15,12,12,20,19,19,19,21,23,21,18,20,22,20,20,19,22,2017,NA
South Carolina,SEC,,,,20,19,16,22,,,,24,23,19,19,21,,,,,2017,NA
Syracuse,ACC,19,18,18,22,,,,,,,,,,,,,,,,2017,NA
Texas,Big 12,21,23,22,,,,,,,,,,,,,,,,,2017,NA
UCLA,Pac-12,16,16,14,11,2,2,2,2,4,4,3,8,11,10,6,5,3,3,8,2017,NA
UConn,AAC,18,,,,,,,,,,,,,,,,,,,2017,NA
UNC,ACC,6,5,4,3,7,7,8,9,14,11,9,9,12,8,10,8,5,6,6,2017,NA
USC,Pac-12,,,,,,24,23,22,25,25,,,,,,,,,,2017,NA
Villanova,Big East,4,3,2,2,1,1,1,1,1,3,1,1,4,2,2,2,2,2,1,2017,NA
Virginia,ACC,8,8,7,6,14,13,12,12,11,19,16,12,9,12,14,18,23,21,24,2017,NA
Virginia Tech,ACC,,,,,,,,,21,,,,,,,,,,,2017,NA
West Virginia,Big 12,20,19,19,25,15,12,11,11,7,10,7,18,7,13,9,12,10,11,13,2017,NA
Wichita State,MVC,,,,,,,,,,,,,,,,25,21,20,19,2017,NA
Wisconsin,Big Ten,9,9,16,17,17,14,14,14,13,18,17,15,10,7,11,16,22,24,25,2017,NA
